,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
AMCR UN Equity,AMCOR PLC,SZ,USD,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Prod,19898062691
AMD UN Equity,ADVANCED MICRO DEVICES,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,3.48694E+11
AMD UR Equity,ADVANCED MICRO DEVICES,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,3.48792E+11
AMD UW Equity,ADVANCED MICRO DEVICES,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,3.48792E+11
AME UN Equity,AMETEK INC,US,USD,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,45184416192
AMFW LN Equity,AMEC FOSTER WHEELER LTD,GB,GBp,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,#N/A N/A
AMG UN Equity,AFFILIATED MANAGERS GROUP,US,USD,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,7527295781
AMGN UQ Equity,AMGEN INC,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,1.85544E+11
AMGN UW Equity,AMGEN INC,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,1.85544E+11
AMP UN Equity,AMERIPRISE FINANCIAL INC,US,USD,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,42129953674
AMT UN Equity,AMERICAN TOWER CORP,US,USD,Real Estate,Equity Real Estate Investment,Specialized REITs,Telecom Tower REITs,84846893953
AMZN UQ Equity,AMAZON.COM INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail,2.44977E+12
AMZN UW Equity,AMAZON.COM INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail,2.44977E+12
AN UN Equity,AUTONATION INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail,7680675754
ANDV UN Equity,ANDEAVOR,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,#N/A N/A
ANDW UQ Equity,COMMSCOPE TECHNOLOGIES LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ANET UN Equity,ARISTA NETWORKS INC,US,USD,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment,1.60748E+11
ANF UN Equity,ABERCROMBIE & FITCH CO-CL A,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail,4478222485
ANRZQ UN Equity,ALPHA NATURAL RESOURCES INC,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,#N/A N/A
ANSS UW Equity,ANSYS INC,US,USD,Information Technology,Software & Services,Software,Application Software,#N/A N/A
ANTO LN Equity,ANTOFAGASTA PLC,CL,GBp,Materials,Materials,Metals & Mining,Copper,26894170640
AON UN Equity,AON PLC-CLASS A,GB,USD,Financials,Insurance,Insurance,Insurance Brokers,75788323792
AOS UN Equity,SMITH (A.O.) CORP,US,USD,Industrials,Capital Goods,Building Products,Building Products,9235644468
APA UN Equity,APA CORP,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,8753237115
APA UW Equity,APA CORP,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,8749690422
APC UN Equity,ANADARKO PETROLEUM CORP,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,#N/A N/A
APD UN Equity,AIR PRODUCTS & CHEMICALS INC,US,USD,Materials,Materials,Chemicals,Industrial Gases,57641968809
APH UN Equity,AMPHENOL CORP-CL A,US,USD,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components,1.69801E+11
APO UN Equity,APOLLO GLOBAL MANAGEMENT INC,US,USD,Financials,Financial Services,Financial Services,Diversified Financial Services,75611648585
APOL UQ Equity,APOLLO EDUCATION GROUP INC,US,USD,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services,#N/A N/A
APOL UW Equity,APOLLO EDUCATION GROUP INC,US,USD,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services,#N/A N/A
APTV UN Equity,APTIV PLC,IR,USD,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,16601381147
ARE UN Equity,ALEXANDRIA REAL ESTATE EQUIT,US,USD,Real Estate,Equity Real Estate Investment,Health Care REITs,Health Care REITs,9258238411
ARG UN Equity,AIRGAS INC,US,USD,Materials,Materials,Chemicals,Industrial Gases,#N/A N/A
ARM LN Equity,ARM HOLDINGS PLC,GB,GBp,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,#N/A N/A
ASH UN Equity,ASHLAND INC,US,USD,Materials,Materials,Chemicals,Specialty Chemicals,2402029657
ASHM LN Equity,ASHMORE GROUP PLC,GB,GBp,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,1131832397
ATGE UN Equity,ADTALEM GLOBAL EDUCATION INC,US,USD,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services,3360027220
ATI UN Equity,ATI INC,US,USD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,13627125198
ATO UN Equity,ATMOS ENERGY CORP,US,USD,Utilities,Utilities,Gas Utilities,Gas Utilities,28415986869
ATVI UW Equity,ACTIVISION BLIZZARD INC,US,USD,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment,#N/A N/A
AU/ LN Equity,AUTONOMY CORP PLC,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AUN LN Equity,WBA HOLDINGS 1 LTD,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AUTO LN Equity,AUTO TRADER GROUP PLC,GB,GBp,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services,5503935615
AV/ LN Equity,AVIVA PLC,GB,GBp,Financials,Insurance,Insurance,Multi-line Insurance,19883076920
AVB UN Equity,AVALONBAY COMMUNITIES INC,US,USD,Real Estate,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs,25751872647
AVGO UW Equity,BROADCOM INC,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,1.87747E+12
AVP UN Equity,AVON PRODUCTS INC,GB,USD,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products,#N/A N/A
AVST LN Equity,AVAST LTD,CZ,GBp,Information Technology,Software & Services,Software,Systems Software,#N/A N/A
AVV LN Equity,AVEVA GROUP LTD,GB,GBp,Information Technology,Software & Services,Software,Application Software,#N/A N/A
AVY UN Equity,AVERY DENNISON CORP,US,USD,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Prod,13311812755
AW UN Equity,ALLIED WASTE INDUSTRIES INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AWK UN Equity,AMERICAN WATER WORKS CO INC,US,USD,Utilities,Utilities,Water Utilities,Water Utilities,25336794915
AXON UW Equity,AXON ENTERPRISE INC,US,USD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,42072693157
AXP UN Equity,AMERICAN EXPRESS CO,US,USD,Financials,Financial Services,Consumer Finance,Consumer Finance,2.50721E+11
AYE UN Equity,ALLEGHENY ENERGY INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AYI UN Equity,ACUITY INC,US,USD,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,11203428631
AZN LN Equity,ASTRAZENECA PLC,GB,GBp,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,2.19395E+11
AZO UN Equity,AUTOZONE INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail,65997575151
BA UN Equity,BOEING CO/THE,US,USD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,1.42077E+11
BA/ LN Equity,BAE SYSTEMS PLC,GB,GBp,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,49346945209
BAA LN Equity,LHR AIRPORTS LTD,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BAB LN Equity,BABCOCK INTL GROUP PLC,GB,GBp,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,5656262928
BAC UN Equity,BANK OF AMERICA CORP,US,USD,Financials,Banks,Banks,Diversified Banks,3.86959E+11
BALL UN Equity,BALL CORP,US,USD,Materials,Materials,Containers & Packaging,"Metal, Glass & Plastic Contain",13300273622
BARC LN Equity,BARCLAYS PLC,GB,GBp,Financials,Banks,Banks,Diversified Banks,58832503716
BATS LN Equity,BRITISH AMERICAN TOBACCO PLC,GB,GBp,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco,95067782574
BAX UN Equity,BAXTER INTERNATIONAL INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment,9720795273
BB/ LN Equity,BRADFORD & BINGLEY LTD,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BBBYQ UQ Equity,20230930-DK-BUTTERFLY-1 INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Homefurnishing Retail,#N/A N/A
BBBYQ UW Equity,20230930-DK-BUTTERFLY-1 INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Homefurnishing Retail,#N/A N/A
BBWI UN Equity,BATH & BODY WORKS INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Other Specialty Retail,3556014279
BBY UN Equity,BEST BUY CO INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Computer & Electronics Retail,17014000440
BC UN Equity,BRUNSWICK CORP,US,USD,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products,4329485796
BCR UN Equity,CR BARD INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment,#N/A N/A
BDK UN Equity,BLACK & DECKER CORP/THE,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BDX UN Equity,BECTON DICKINSON AND CO,US,USD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment,55342657039
BEN UN Equity,FRANKLIN RESOURCES INC,US,USD,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,11732257462
BEZ LN Equity,BEAZLEY PLC,GB,GBp,Financials,Insurance,Insurance,Property & Casualty Insurance,4783385022
BF/B UN Equity,BROWN-FORMAN CORP-CLASS B,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners,13485510823
BFH UN Equity,BREAD FINANCIAL HOLDINGS INC,US,USD,Financials,Financial Services,Consumer Finance,Consumer Finance,3080331603
BG UN Equity,BUNGE GLOBAL SA,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Servic,18655473815
BG/ LN Equity,BG GROUP LTD,GB,GBp,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,#N/A N/A
BGY LN Equity,EDF ENERGY NUCLEAR GENERATIO,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BHF UW Equity,BRIGHTHOUSE FINANCIAL INC,US,USD,Financials,Insurance,Insurance,Life & Health Insurance,3739569304
BHI UN Equity,BAKER HUGHES HOLDINGS LLC,US,USD,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,#N/A N/A
BI/ LN Equity,BIP INDUSTRIES LTD,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BIGGQ UN Equity,BIG LOTS INC,US,USD,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail,#N/A N/A
BIIB UQ Equity,BIOGEN INC,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,26691011368
BIIB UW Equity,BIOGEN INC,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,26691011368
BIO UN Equity,BIO-RAD LABORATORIES-A,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services,8739355834
BK UN Equity,BANK OF NEW YORK MELLON CORP,US,USD,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,77677718922
BKG LN Equity,BERKELEY GROUP HOLDINGS/THE,GB,GBp,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding,3566412067
BKNG UW Equity,BOOKING HOLDINGS INC,US,USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",1.58328E+11
BKR UN Equity,BAKER HUGHES CO,US,USD,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,48879844245
BKR UW Equity,BAKER HUGHES CO,US,USD,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,48874910375
BLDR UN Equity,BUILDERS FIRSTSOURCE INC,US,USD,Industrials,Capital Goods,Building Products,Building Products,12357379927
BLK UN Equity,BLACKROCK INC,US,USD,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,1.70033E+11
BLND LN Equity,BRITISH LAND CO PLC,GB,GBp,Real Estate,Equity Real Estate Investment,Diversified REITs,Diversified REITs,3963141409
BLS UN Equity,BELLSOUTH LLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BMC UN Equity,BMC SOFTWARE INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BMC UW Equity,BMC SOFTWARE INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BME LN Equity,B&M EUROPEAN VALUE RETAIL SA,GB,GBp,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail,1701013267
BMS UN Equity,AMCOR FLEXIBLES NORTH AMERIC,US,USD,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Prod,#N/A N/A
BMY UN Equity,BRISTOL-MYERS SQUIBB CO,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,1.00261E+11
BNI UN Equity,BURLINGTON NORTHERN SANTA FE,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BNZL LN Equity,BUNZL PLC,GB,GBp,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,6937911501
BOC LN Equity,BOC GROUP LTD/THE,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BOL UN Equity,BAUSCH & LOMB INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BP/ LN Equity,BP PLC,GB,GBp,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,70881073200
BPTY LN Equity,BWIN PARTY DIGITAL ENTERTAIN,GI,GBp,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,#N/A N/A
BR UN Equity,BROADRIDGE FINANCIAL SOLUTIO,US,USD,Industrials,Commercial & Professional Serv,Professional Services,Data Processing & Outsourced S,26566025153
BRBY LN Equity,BURBERRY GROUP PLC,GB,GBp,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury",4322770683
BRCM UQ Equity,BROADCOM CORP-CL A,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,#N/A N/A
BRCM UW Equity,BROADCOM CORP-CL A,US,USD,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,#N/A N/A
BRK/B UN Equity,BERKSHIRE HATHAWAY INC-CL B,US,USD,Financials,Financial Services,Financial Services,Multi-Sector Holdings,1.10636E+12
BRL UN Equity,BARR PHARMACEUTICALS INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BRO UN Equity,BROWN & BROWN INC,US,USD,Financials,Insurance,Insurance,Insurance Brokers,27467302556
BSX UN Equity,BOSTON SCIENTIFIC CORP,US,USD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment,1.49667E+11
BT/A LN Equity,BT GROUP PLC,GB,GBp,Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S,18076192493
BTRW LN Equity,BARRATT REDROW PLC,GB,GBp,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding,5601025708
BTUUQ UN Equity,PEABODY ENERGY CORP,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels,#N/A N/A
BWA UN Equity,BORGWARNER INC,US,USD,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,9190351649
BX UN Equity,BLACKSTONE INC,US,USD,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban,1.79206E+11
BXLT UN Equity,BAXALTA INC,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,#N/A N/A
BXP UN Equity,BXP INC,US,USD,Real Estate,Equity Real Estate Investment,Office REITs,Office REITs,11522258086
C UN Equity,CITIGROUP INC,US,USD,Financials,Banks,Banks,Diversified Banks,1.834E+11
CAG UN Equity,CONAGRA BRANDS INC,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,8524226243
CAH UN Equity,CARDINAL HEALTH INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Distributors,50641007252
CAR UN Equity,AVIS BUDGET GROUP INC,US,USD,Industrials,Transportation,Ground Transportation,Passenger Ground Transportatio,4698798432
CARR UN Equity,CARRIER GLOBAL CORP,US,USD,Industrials,Capital Goods,Building Products,Building Products,45782523695
CAT UN Equity,CATERPILLAR INC,US,USD,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy,2.68494E+11
CB UN Equity,CHUBB LTD,SZ,USD,Financials,Insurance,Insurance,Property & Casualty Insurance,1.17239E+11
CBE UN Equity,COOPER INDUSTRIES PLC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CBOE UF Equity,CBOE GLOBAL MARKETS INC,US,USD,Financials,Financial Services,Capital Markets,Financial Exchanges & Data,27010841954
CBOE UW Equity,CBOE GLOBAL MARKETS INC,US,USD,Financials,Financial Services,Capital Markets,Financial Exchanges & Data,#N/A N/A
CBRE UN Equity,CBRE GROUP INC - A,US,USD,Real Estate,Real Estate Management & Devel,Real Estate Management & Devel,Real Estate Services,48272560043
CBRY LN Equity,CADBURY LTD,GB,GBp,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CCEP UN Equity,COCA-COLA EUROPACIFIC PARTNE,GB,USD,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Be,41224658343
CCH LN Equity,COCA-COLA HBC AG-DI,SZ,GBp,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Be,14123385026
CCI UN Equity,CROWN CASTLE INC,US,USD,Real Estate,Equity Real Estate Investment,Specialized REITs,Telecom Tower REITs,39432624356
CCL LN Equity,CARNIVAL PLC,US,GBp,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",25033122201
CCL UN Equity,CARNIVAL CORP,US,USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",33155118657
CCTYQ UN Equity,CIRCUIT CITY STORES INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CDNS UW Equity,CADENCE DESIGN SYS INC,US,USD,Information Technology,Software & Services,Software,Application Software,83388776350
CDW UW Equity,CDW CORP/DE,US,USD,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Technology Distributors,18799964504
CE UN Equity,CELANESE CORP,US,USD,Materials,Materials,Chemicals,Specialty Chemicals,4432758109
CEG UW Equity,CONSTELLATION ENERGY,US,USD,Utilities,Utilities,Electric Utilities,Electric Utilities,1.12182E+11
CELG UW Equity,CELGENE CORP,US,USD,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,#N/A N/A
CEPH UW Equity,CEPHALON INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CERN UW Equity,CERNER CORP,US,USD,Health Care,Health Care Equipment & Servic,Health Care Technology,Health Care Technology,#N/A N/A
CF UN Equity,CF INDUSTRIES HOLDINGS INC,US,USD,Materials,Materials,Chemicals,Fertilizers & Agricultural Che,12229971836
CFC UN Equity,COUNTRYWIDE FINANCIAL CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CFG UN Equity,CITIZENS FINANCIAL GROUP,US,USD,Financials,Banks,Banks,Regional Banks,23183664590
CFN UN Equity,CAREFUSION CORP,US,USD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment,#N/A N/A
CHD UN Equity,CHURCH & DWIGHT CO INC,US,USD,Consumer Staples,Household & Personal Products,Household Products,Household Products,20302997503
CHKAQ UN Equity,CHESAPEAKE ENERGY CORP,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,#N/A N/A
CHRW UW Equity,C.H. ROBINSON WORLDWIDE INC,US,USD,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics,18847605378
CHTR UW Equity,CHARTER COMMUNICATIONS INC-A,US,USD,Communication Services,Media & Entertainment,Media,Cable & Satellite,29148436054
CI UN Equity,THE CIGNA GROUP,US,USD,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services,74354470884
CIEN UQ Equity,CIENA CORP,US,USD,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment,#N/A N/A
CIEN UW Equity,CIENA CORP,US,USD,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment,#N/A N/A
CIN UN Equity,CINERGY CORP,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CINF UQ Equity,CINCINNATI FINANCIAL CORP,US,USD,Financials,Insurance,Insurance,Property & Casualty Insurance,26285999070
CINF UW Equity,CINCINNATI FINANCIAL CORP,US,USD,Financials,Insurance,Insurance,Property & Casualty Insurance,26285999070
CITGQ UN Equity,CIT GROUP INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CL UN Equity,COLGATE-PALMOLIVE CO,US,USD,Consumer Staples,Household & Personal Products,Household Products,Household Products,64517437958
CLF UN Equity,CLEVELAND-CLIFFS INC,US,USD,Materials,Materials,Metals & Mining,Steel,7201102396
CLX UN Equity,CLOROX COMPANY,US,USD,Consumer Staples,Household & Personal Products,Household Products,Household Products,13143385837
CMA UN Equity,COMERICA INC,US,USD,Financials,Banks,Banks,Diversified Banks,10238865776
CMCSA UQ Equity,COMCAST CORP-CLASS A,US,USD,Communication Services,Media & Entertainment,Media,Cable & Satellite,96818276999
CMCSA UW Equity,COMCAST CORP-CLASS A,US,USD,Communication Services,Media & Entertainment,Media,Cable & Satellite,96818276999
CME UN Equity,CME GROUP INC,US,USD,Financials,Financial Services,Capital Markets,Financial Exchanges & Data,1.01316E+11
CME UW Equity,CME GROUP INC,US,USD,Financials,Financial Services,Capital Markets,Financial Exchanges & Data,1.01282E+11
CMG UN Equity,CHIPOTLE MEXICAN GRILL INC,US,USD,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,44997120340
CMI UN Equity,CUMMINS INC,US,USD,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy,68619201729
CMS UN Equity,CMS ENERGY CORP,US,USD,Utilities,Utilities,Multi-Utilities,Multi-Utilities,22906148712
CMVT UQ Equity,COMVERSE TECHNOLOGY INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CMX UN Equity,CAREMARK RX INC,US,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNA LN Equity,CENTRICA PLC,GB,GBp,Utilities,Utilities,Multi-Utilities,Multi-Utilities,7721980449
CNC UN Equity,CENTENE CORP,US,USD,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Managed Health Care,19395300280
CNE LN Equity,CAPRICORN ENERGY PLC,GB,GBp,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,139564394.5
CNP UN Equity,CENTERPOINT ENERGY INC,US,USD,Utilities,Utilities,Multi-Utilities,Multi-Utilities,26082087506
CNX UN Equity,CNX RESOURCES CORP,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,5164090801
COB LN Equity,COBHAM LTD,GB,GBp,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,#N/A N/A
COF UN Equity,CAPITAL ONE FINANCIAL CORP,US,USD,Financials,Financial Services,Consumer Finance,Consumer Finance,1.38253E+11
COL UN Equity,ROCKWELL COLLINS INC,US,USD,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,#N/A N/A
COO UN Equity,COOPER COS INC/THE,US,USD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies,15495167303
COO UW Equity,COOPER COS INC/THE,US,USD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies,15495167303
COP UN Equity,CONOCOPHILLIPS,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc,1.07619E+11
COR UN Equity,CENCORA INC,US,USD,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Distributors,71492403917
COST UQ Equity,COSTCO WHOLESALE CORP,US,USD,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Consumer Staples Merchandise R,4.02522E+11
COST UW Equity,COSTCO WHOLESALE CORP,US,USD,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Consumer Staples Merchandise R,4.02522E+11
COTY UN Equity,COTY INC-CL A,US,USD,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products,2886238331
COV UN Equity,COVIDIEN LTD,IR,USD,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment,#N/A N/A
CPAY UN Equity,CORPAY INC,US,USD,Financials,Financial Services,Financial Services,Transaction & Payment Processi,20521496147
CPB UN Equity,THE CAMPBELL'S COMPANY,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,9001051807
CPB UW Equity,THE CAMPBELL'S COMPANY,US,USD,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,9002540323
CPG LN Equity,COMPASS GROUP PLC,GB,GBp,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants,40246069544
CPGX UN Equity,COLUMBIA PIPELINE GROUP,US,USD,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta,#N/A N/A
CPI LN Equity,CAPITA PLC,GB,GBp,Industrials,Commercial & Professional Serv,Professional Services,Data Processing & Outsourced S,376815402.6
